,data,time,real_time,hour,price_date,str_price_date,all_return,c_return,10_days_std,10_days_mean,10_days_std_year,10_days_sharp_ratio
0,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '9929', 'reason': '', 'change_rate': -3, 'change_rate_new': -0.03, 'open': 11.7, 'close': 11.3, 'open_next': 11.1, 'change_rate_today': -0.03418803418803407, 'name': '秋雨'}]}]",2020-07-21 12:01:45.302,2020-07-21 20:01:45.302,20,2020-07-22,2020-07-22,-0.03418803418803407,-0.03418803418803407,,,,
1,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5225', 'reason': '', 'change_rate': 2.12, 'change_rate_new': 0.0212, 'open': 26.1, 'close': 25.6, 'open_next': 25.6, 'change_rate_today': 0.015325670498084237, 'name': '東科-KY'}, {'id': '2543', 'reason': '', 'change_rate': -1.07, 'change_rate_new': -0.010700000000000001, 'open': 6.62, 'close': 6.41, 'open_next': 6.41, 'change_rate_today': -0.018126888217522674, 'name': '皇昌'}, {'id': '8420', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 21.5, 'close': 21.65, 'open_next': 21.65, 'change_rate_today': -0.01860465116279063, 'name': '明揚'}, {'id': '8423', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.6, 'close': 16.7, 'open_next': 16.7, 'change_rate_today': -0.019886363636363716, 'name': '保綠-KY'}]}]",2020-07-22 12:01:55.655,2020-07-22 20:01:55.655,20,2020-07-23,2020-07-23,-0.010323058129648194,-0.04415816725342081,,,,
2,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5225', 'reason': '', 'change_rate': -3.58, 'change_rate_new': -0.0358, 'open': 26.1, 'close': 25.6, 'open_next': 24.7, 'change_rate_today': -0.019157088122605363, 'name': '東科-KY'}, {'id': '1470', 'reason': '', 'change_rate': 2.32, 'change_rate_new': 0.0232, 'open': 18.9, 'close': 19.45, 'open_next': 19.15, 'change_rate_today': 0.02910052910052914, 'name': '大統新創'}, {'id': '3115', 'reason': '', 'change_rate': -7.02, 'change_rate_new': -0.0702, 'open': 14.9, 'close': 13.9, 'open_next': 13.2, 'change_rate_today': -0.06711409395973154, 'name': '寶島極'}, {'id': '5263', 'reason': '', 'change_rate': -2.59, 'change_rate_new': -0.0259, 'open': 114, 'close': 111, 'open_next': 110.5, 'change_rate_today': -0.02631578947368421, 'name': '智崴'}, {'id': '4558', 'reason': '', 'change_rate': 1.79, 'change_rate_new': 0.0179, 'open': 15.67, 'close': 15.95, 'open_next': 15.95, 'change_rate_today': 0.017868538608806595, 'name': '寶緯'}]}]",2020-07-23 12:01:48.850,2020-07-23 20:01:48.850,20,2020-07-24,2020-07-24,-0.013123580769337076,-0.0567022347481817,,,,
3,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '1470', 'reason': '', 'change_rate': -3.53, 'change_rate_new': -0.0353, 'open': 18.9, 'close': 19.15, 'open_next': 19.5, 'change_rate_today': 0.013227513227513229, 'name': '大統新創'}]}]",2020-07-24 12:01:48.075,2020-07-24 20:01:48.075,20,2020-07-27,2020-07-27,0.013227513227513229,-0.04422475108082957,,,,
4,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '8482', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 112.5, 'close': 111.5, 'open_next': 111.5, 'change_rate_today': -0.022222222222222223, 'name': '商億-KY'}, {'id': '1506', 'reason': '', 'change_rate': -2.04, 'change_rate_new': -0.0204, 'open': 12.25, 'close': 12.8, 'open_next': 12.3, 'change_rate_today': -0.02040816326530612, 'name': '正道'}, {'id': '8906', 'reason': '', 'change_rate': -4.64, 'change_rate_new': -0.0464, 'open': 15.55, 'close': 15, 'open_next': 15.1, 'change_rate_today': -0.01929260450160776, 'name': '花王'}, {'id': '6417', 'reason': '', 'change_rate': 3.69, 'change_rate_new': 0.0369, 'open': 56.9, 'close': 59, 'open_next': 59.2, 'change_rate_today': 0.03690685413005275, 'name': '韋僑'}]}]",2020-07-27 12:01:48.238,2020-07-27 20:01:48.238,20,2020-07-28,2020-07-28,-0.006254033964770839,-0.050202201950257375,,,,
5,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '6574', 'reason': '', 'change_rate': -0.35, 'change_rate_new': -0.0034999999999999996, 'open': 57.8, 'close': 55.9, 'open_next': 56.9, 'change_rate_today': -0.041522491349480946, 'name': '霈方'}, {'id': '4413', 'reason': '', 'change_rate': 1.09, 'change_rate_new': 0.0109, 'open': 13.9, 'close': 13.6, 'open_next': 13.85, 'change_rate_today': 0.0, 'name': '飛寶企業'}]}]",2020-07-28 12:01:51.386,2020-07-28 20:01:51.386,20,2020-07-29,2020-07-29,-0.020761245674740476,-0.06992118737689558,,,,
6,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '8482', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 111.5, 'close': 112.5, 'open_next': 112.5, 'change_rate_today': 0.0, 'name': '商億-KY'}, {'id': '5310', 'reason': '', 'change_rate': 10, 'change_rate_new': 0.1, 'open': 7.76, 'close': 9.28, 'open_next': 9.28, 'change_rate_today': 0.09536082474226808, 'name': '天剛'}, {'id': '8047', 'reason': '', 'change_rate': 0.49, 'change_rate_new': 0.0049, 'open': 10.3, 'close': 9.54, 'open_next': 9.54, 'change_rate_today': -0.029126213592233077, 'name': '星雲'}, {'id': '8924', 'reason': '', 'change_rate': -0.8, 'change_rate_new': -0.008, 'open': 37.9, 'close': 37.2, 'open_next': 37.2, 'change_rate_today': -0.021108179419524992, 'name': '大田'}]}]",2020-07-29 12:01:49.798,2020-07-29 20:01:49.798,20,2020-07-30,2020-07-30,0.011281607932627502,-0.05942840286643801,,,,
7,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5310', 'reason': '', 'change_rate': 9.93, 'change_rate_new': 0.0993, 'open': 7.76, 'close': 9.28, 'open_next': 10, 'change_rate_today': 0.19587628865979376, 'name': '天剛'}, {'id': '1258', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 13.2, 'close': 12.8, 'open_next': 12.8, 'change_rate_today': -0.030303030303030196, 'name': '其祥-KY'}]}]",2020-07-30 12:01:51.558,2020-07-30 20:01:51.558,20,2020-07-31,2020-07-31,0.08278662917838177,0.018438349161176596,,,,
8,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5310', 'reason': '', 'change_rate': 9.9, 'change_rate_new': 0.099, 'open': 7.76, 'close': 10, 'open_next': 9.98, 'change_rate_today': 0.288659793814433, 'name': '天剛'}]}]",2020-07-31 12:01:50.480,2020-07-31 20:01:50.480,20,2020-08-03,2020-08-03,0.288659793814433,0.3124205530427535,,,,
9,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '6545', 'reason': '', 'change_rate': 1.64, 'change_rate_new': 0.016399999999999998, 'open': 7.94, 'close': 8.72, 'open_next': 8.02, 'change_rate_today': 0.016372795969773285, 'name': '擎力'}]}]",2020-08-03 12:01:45.928,2020-08-03 20:01:45.928,20,2020-08-04,2020-08-04,0.016372795969773285,0.33390854698425954,,,,
10,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '2466', 'reason': '', 'change_rate': 0.52, 'change_rate_new': 0.0052, 'open': 28.6, 'close': 28.55, 'open_next': 28.95, 'change_rate_today': 0.003496503496503422, 'name': '冠西電'}, {'id': '5301', 'reason': '', 'change_rate': 8.42, 'change_rate_new': 0.0842, 'open': 10.8, 'close': 10.8, 'open_next': 10.9, 'change_rate_today': 0.06481481481481474, 'name': '寶得利'}, {'id': '5878', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 46.3, 'close': 47, 'open_next': 46.45, 'change_rate_today': 0.0, 'name': '台名'}, {'id': '8107', 'reason': '', 'change_rate': -0.62, 'change_rate_new': -0.0062, 'open': 16.15, 'close': 14.75, 'open_next': 14.9, 'change_rate_today': -0.0712074303405572, 'name': '大億金茂'}, {'id': '6473', 'reason': '', 'change_rate': -10.24, 'change_rate_new': -0.1024, 'open': 16.8, 'close': 15.6, 'open_next': 14.91, 'change_rate_today': -0.10238095238095242, 'name': '好玩家*'}]}]",2020-08-04 12:01:47.532,2020-08-04 20:01:47.532,20,2020-08-05,2020-08-05,-0.02105541288203829,0.3058225517806261,,,,
