,data,time,real_time,hour,price_date,str_price_date,all_return,c_return,10_days_std,10_days_mean,10_days_std_year,10_days_sharp_ratio
0,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 13.8, 'open_next': 13.8, 'change_rate_today': -0.07999999999999995, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 78.8, 'open_next': 78.8, 'change_rate_today': -0.09736540664375716, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.85, 'open_next': 17.85, 'change_rate_today': 0.0028089887640449836, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 10.65, 'open_next': 10.65, 'change_rate_today': -0.09745762711864409, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 15.5, 'open_next': 15.5, 'change_rate_today': -0.09090909090909095, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.14, 'open_next': 7.14, 'change_rate_today': -0.05680317040951131, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 27.7, 'open_next': 27.7, 'change_rate_today': -0.012477718360071352, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9, 'open_next': 9, 'change_rate_today': -0.1, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.27, 'open_next': 9.27, 'change_rate_today': -0.0664652567975831, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 7.62, 'open_next': 7.62, 'change_rate_today': -0.14382022471910114, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 7, 'open_next': 7, 'change_rate_today': 0.044776119402985044, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 14.4, 'open_next': 14.4, 'change_rate_today': 0.07063197026022314, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.09, 'open_next': 9.09, 'change_rate_today': -0.06095041322314048, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.1, 'open_next': 7.1, 'change_rate_today': -0.02068965517241384, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 35.85, 'open_next': 35.85, 'change_rate_today': 0.030172413793103574, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 1.81, 'open_next': 1.81, 'change_rate_today': -0.33210332103321033, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'open_next': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 23.82, 'open_next': 23.82, 'change_rate_today': -0.08208092485549129, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.56, 'open_next': 4.56, 'change_rate_today': 0.1176470588235293, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 30.38, 'open_next': 30.38, 'change_rate_today': 0.07387769529869212, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 60.1, 'open_next': 60.1, 'change_rate_today': -0.1475177304964539, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.04, 'open_next': 6.04, 'change_rate_today': -0.0778625954198473, 'name': '碩鑽材料'}]}]",2020-07-21 12:17:11.989,2020-07-21 20:17:11.989,20,2020-07-22,2020-07-22,-0.051208585855260814,-0.051208585855260814,,,,
1,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 13.8, 'open_next': 13.8, 'change_rate_today': -0.07999999999999995, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 78.8, 'open_next': 78.8, 'change_rate_today': -0.09736540664375716, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.85, 'open_next': 17.85, 'change_rate_today': 0.0028089887640449836, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 10.65, 'open_next': 10.65, 'change_rate_today': -0.09745762711864409, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 15.5, 'open_next': 15.5, 'change_rate_today': -0.09090909090909095, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.14, 'open_next': 7.14, 'change_rate_today': -0.05680317040951131, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 27.7, 'open_next': 27.7, 'change_rate_today': -0.012477718360071352, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9, 'open_next': 9, 'change_rate_today': -0.1, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.27, 'open_next': 9.27, 'change_rate_today': -0.0664652567975831, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 7.62, 'open_next': 7.62, 'change_rate_today': -0.14382022471910114, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 7, 'open_next': 7, 'change_rate_today': 0.044776119402985044, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 14.4, 'open_next': 14.4, 'change_rate_today': 0.07063197026022314, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.09, 'open_next': 9.09, 'change_rate_today': -0.06095041322314048, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.1, 'open_next': 7.1, 'change_rate_today': -0.02068965517241384, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 35.85, 'open_next': 35.85, 'change_rate_today': 0.030172413793103574, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 1.81, 'open_next': 1.81, 'change_rate_today': -0.33210332103321033, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'open_next': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 23.82, 'open_next': 23.82, 'change_rate_today': -0.08208092485549129, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.56, 'open_next': 4.56, 'change_rate_today': 0.1176470588235293, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 30.38, 'open_next': 30.38, 'change_rate_today': 0.07387769529869212, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 60.1, 'open_next': 60.1, 'change_rate_today': -0.1475177304964539, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.04, 'open_next': 6.04, 'change_rate_today': -0.0778625954198473, 'name': '碩鑽材料'}]}]",2020-07-22 12:18:01.550,2020-07-22 20:18:01.550,20,2020-07-23,2020-07-23,-0.051208585855260814,-0.051208585855260814,,,,
2,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 13.8, 'open_next': 13.8, 'change_rate_today': -0.07999999999999995, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 78.8, 'open_next': 78.8, 'change_rate_today': -0.09736540664375716, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.85, 'open_next': 17.85, 'change_rate_today': 0.0028089887640449836, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 10.65, 'open_next': 10.65, 'change_rate_today': -0.09745762711864409, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 15.5, 'open_next': 15.5, 'change_rate_today': -0.09090909090909095, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.14, 'open_next': 7.14, 'change_rate_today': -0.05680317040951131, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 27.7, 'open_next': 27.7, 'change_rate_today': -0.012477718360071352, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9, 'open_next': 9, 'change_rate_today': -0.1, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.27, 'open_next': 9.27, 'change_rate_today': -0.0664652567975831, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 7.62, 'open_next': 7.62, 'change_rate_today': -0.14382022471910114, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 7, 'open_next': 7, 'change_rate_today': 0.044776119402985044, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 14.4, 'open_next': 14.4, 'change_rate_today': 0.07063197026022314, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.09, 'open_next': 9.09, 'change_rate_today': -0.06095041322314048, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.1, 'open_next': 7.1, 'change_rate_today': -0.02068965517241384, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 35.85, 'open_next': 35.85, 'change_rate_today': 0.030172413793103574, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 1.81, 'open_next': 1.81, 'change_rate_today': -0.33210332103321033, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'open_next': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 23.82, 'open_next': 23.82, 'change_rate_today': -0.08208092485549129, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.56, 'open_next': 4.56, 'change_rate_today': 0.1176470588235293, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 30.38, 'open_next': 30.38, 'change_rate_today': 0.07387769529869212, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 60.1, 'open_next': 60.1, 'change_rate_today': -0.1475177304964539, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.04, 'open_next': 6.04, 'change_rate_today': -0.0778625954198473, 'name': '碩鑽材料'}]}]",2020-07-23 12:17:15.189,2020-07-23 20:17:15.189,20,2020-07-24,2020-07-24,-0.051208585855260814,-0.051208585855260814,,,,
3,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 13.8, 'open_next': 13.8, 'change_rate_today': -0.07999999999999995, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 78.8, 'open_next': 78.8, 'change_rate_today': -0.09736540664375716, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.85, 'open_next': 17.85, 'change_rate_today': 0.0028089887640449836, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 10.65, 'open_next': 10.65, 'change_rate_today': -0.09745762711864409, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 15.5, 'open_next': 15.5, 'change_rate_today': -0.09090909090909095, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.14, 'open_next': 7.14, 'change_rate_today': -0.05680317040951131, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 27.7, 'open_next': 27.7, 'change_rate_today': -0.012477718360071352, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9, 'open_next': 9, 'change_rate_today': -0.1, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.27, 'open_next': 9.27, 'change_rate_today': -0.0664652567975831, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 7.62, 'open_next': 7.62, 'change_rate_today': -0.14382022471910114, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 7, 'open_next': 7, 'change_rate_today': 0.044776119402985044, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 14.4, 'open_next': 14.4, 'change_rate_today': 0.07063197026022314, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.09, 'open_next': 9.09, 'change_rate_today': -0.06095041322314048, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.1, 'open_next': 7.1, 'change_rate_today': -0.02068965517241384, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 35.85, 'open_next': 35.85, 'change_rate_today': 0.030172413793103574, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 1.81, 'open_next': 1.81, 'change_rate_today': -0.33210332103321033, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'open_next': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 23.82, 'open_next': 23.82, 'change_rate_today': -0.08208092485549129, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.56, 'open_next': 4.56, 'change_rate_today': 0.1176470588235293, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 30.38, 'open_next': 30.38, 'change_rate_today': 0.07387769529869212, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 60.1, 'open_next': 60.1, 'change_rate_today': -0.1475177304964539, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.04, 'open_next': 6.04, 'change_rate_today': -0.0778625954198473, 'name': '碩鑽材料'}]}]",2020-07-24 12:17:32.603,2020-07-24 20:17:32.603,20,2020-07-27,2020-07-27,-0.051208585855260814,-0.051208585855260814,,,,
4,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3296', 'reason': '', 'change_rate': -2.01, 'change_rate_new': -0.020099999999999996, 'open': 15, 'close': 13.8, 'open_next': 13.8, 'change_rate_today': -0.07999999999999995, 'name': '勝德'}, {'id': '3617', 'reason': '', 'change_rate': 0.23, 'change_rate_new': 0.0023, 'open': 87.3, 'close': 78.8, 'open_next': 78.8, 'change_rate_today': -0.09736540664375716, 'name': '碩天'}, {'id': '4725', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.8, 'close': 17.85, 'open_next': 17.85, 'change_rate_today': 0.0028089887640449836, 'name': '信昌化'}, {'id': '6120', 'reason': '', 'change_rate': -1.27, 'change_rate_new': -0.0127, 'open': 11.8, 'close': 10.65, 'open_next': 10.65, 'change_rate_today': -0.09745762711864409, 'name': '達運'}, {'id': '2236', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.05, 'close': 15.5, 'open_next': 15.5, 'change_rate_today': -0.09090909090909095, 'name': '百達-KY'}, {'id': '2323', 'reason': '', 'change_rate': 1.32, 'change_rate_new': 0.0132, 'open': 7.57, 'close': 7.14, 'open_next': 7.14, 'change_rate_today': -0.05680317040951131, 'name': '中環'}, {'id': '2338', 'reason': '', 'change_rate': 5.73, 'change_rate_new': 0.057300000000000004, 'open': 28.05, 'close': 27.7, 'open_next': 27.7, 'change_rate_today': -0.012477718360071352, 'name': '光罩'}, {'id': '2506', 'reason': '', 'change_rate': -0.3, 'change_rate_new': -0.003, 'open': 10, 'close': 9, 'open_next': 9, 'change_rate_today': -0.1, 'name': '太設'}, {'id': '3050', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 9.93, 'close': 9.27, 'open_next': 9.27, 'change_rate_today': -0.0664652567975831, 'name': '鈺德'}, {'id': '8429', 'reason': '', 'change_rate': -0.34, 'change_rate_new': -0.0034000000000000002, 'open': 8.9, 'close': 7.62, 'open_next': 7.62, 'change_rate_today': -0.14382022471910114, 'name': '金麗-KY'}, {'id': '3085', 'reason': '', 'change_rate': -0.15, 'change_rate_new': -0.0015, 'open': 6.7, 'close': 7, 'open_next': 7, 'change_rate_today': 0.044776119402985044, 'name': '新零售'}, {'id': '3434', 'reason': '', 'change_rate': 9.96, 'change_rate_new': 0.09960000000000001, 'open': 13.45, 'close': 14.4, 'open_next': 14.4, 'change_rate_today': 0.07063197026022314, 'name': '哲固'}, {'id': '5276', 'reason': '', 'change_rate': 0.63, 'change_rate_new': 0.0063, 'open': 9.68, 'close': 9.09, 'open_next': 9.09, 'change_rate_today': -0.06095041322314048, 'name': '達輝-KY'}, {'id': '5348', 'reason': '', 'change_rate': -0.27, 'change_rate_new': -0.0027, 'open': 7.25, 'close': 7.1, 'open_next': 7.1, 'change_rate_today': -0.02068965517241384, 'name': '系通'}, {'id': '5487', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 34.8, 'close': 35.85, 'open_next': 35.85, 'change_rate_today': 0.030172413793103574, 'name': '通泰'}, {'id': '6259', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 2.71, 'close': 1.81, 'open_next': 1.81, 'change_rate_today': -0.33210332103321033, 'name': '百徽'}, {'id': '8921', 'reason': '', 'change_rate': 1.08, 'change_rate_new': 0.0108, 'open': 13.95, 'close': 13.95, 'open_next': 13.95, 'change_rate_today': 0.0, 'name': '沈氏'}, {'id': '5233', 'reason': '', 'change_rate': -3.85, 'change_rate_new': -0.0385, 'open': 25.95, 'close': 23.82, 'open_next': 23.82, 'change_rate_today': -0.08208092485549129, 'name': '有量'}, {'id': '6027', 'reason': '', 'change_rate': 7.35, 'change_rate_new': 0.0735, 'open': 4.08, 'close': 4.56, 'open_next': 4.56, 'change_rate_today': 0.1176470588235293, 'name': '德信'}, {'id': '6652', 'reason': '', 'change_rate': 8.27, 'change_rate_new': 0.0827, 'open': 28.29, 'close': 30.38, 'open_next': 30.38, 'change_rate_today': 0.07387769529869212, 'name': '雅祥生醫'}, {'id': '6668', 'reason': '', 'change_rate': -2.29, 'change_rate_new': -0.0229, 'open': 70.5, 'close': 60.1, 'open_next': 60.1, 'change_rate_today': -0.1475177304964539, 'name': '中揚光'}, {'id': '6682', 'reason': '', 'change_rate': -0.46, 'change_rate_new': -0.0046, 'open': 6.55, 'close': 6.04, 'open_next': 6.04, 'change_rate_today': -0.0778625954198473, 'name': '碩鑽材料'}]}]",2020-07-27 12:17:18.040,2020-07-27 20:17:18.040,20,2020-07-28,2020-07-28,-0.051208585855260814,-0.051208585855260814,,,,
5,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3434', 'reason': '', 'change_rate': -8.7, 'change_rate_new': -0.087, 'open': 13.45, 'close': 12.75, 'open_next': 12.75, 'change_rate_today': -0.05204460966542746, 'name': '哲固'}, {'id': '8927', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 15.55, 'close': 15.2, 'open_next': 15.2, 'change_rate_today': -0.022508038585209094, 'name': '北基'}]}]",2020-07-28 12:17:10.859,2020-07-28 20:17:10.859,20,2020-07-29,2020-07-29,-0.03727632412531828,-0.08657604213623915,,,,
6,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3434', 'reason': '', 'change_rate': -8.7, 'change_rate_new': -0.087, 'open': 13.45, 'close': 12.75, 'open_next': 12.75, 'change_rate_today': -0.05204460966542746, 'name': '哲固'}, {'id': '8927', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 15.55, 'close': 15.2, 'open_next': 15.2, 'change_rate_today': -0.022508038585209094, 'name': '北基'}]}]",2020-07-29 12:17:19.683,2020-07-29 20:17:19.683,20,2020-07-30,2020-07-30,-0.03727632412531828,-0.08657604213623915,,,,
7,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3434', 'reason': '', 'change_rate': -8.7, 'change_rate_new': -0.087, 'open': 13.45, 'close': 12.75, 'open_next': 12.75, 'change_rate_today': -0.05204460966542746, 'name': '哲固'}, {'id': '8927', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 15.55, 'close': 15.2, 'open_next': 15.2, 'change_rate_today': -0.022508038585209094, 'name': '北基'}]}]",2020-07-30 12:17:21.157,2020-07-30 20:17:21.157,20,2020-07-31,2020-07-31,-0.03727632412531828,-0.08657604213623915,,,,
8,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3434', 'reason': '', 'change_rate': -8.7, 'change_rate_new': -0.087, 'open': 13.45, 'close': 12.75, 'open_next': 12.75, 'change_rate_today': -0.05204460966542746, 'name': '哲固'}, {'id': '8927', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 15.55, 'close': 15.2, 'open_next': 15.2, 'change_rate_today': -0.022508038585209094, 'name': '北基'}]}]",2020-07-31 12:17:24.410,2020-07-31 20:17:24.410,20,2020-08-03,2020-08-03,-0.03727632412531828,-0.08657604213623915,,,,
9,"[{'symbol_id': 'FC0387', 'symbols': [{'id': '3434', 'reason': '', 'change_rate': -8.7, 'change_rate_new': -0.087, 'open': 13.45, 'close': 12.75, 'open_next': 12.75, 'change_rate_today': -0.05204460966542746, 'name': '哲固'}, {'id': '8927', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 15.55, 'close': 15.2, 'open_next': 15.2, 'change_rate_today': -0.022508038585209094, 'name': '北基'}]}]",2020-08-03 12:17:24.923,2020-08-03 20:17:24.923,20,2020-08-04,2020-08-04,-0.03727632412531828,-0.08657604213623915,,,,
