data,time,real_time,hour,price_date,str_price_date,all_return,c_return
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '9929', 'reason': '', 'change_rate': -3, 'change_rate_new': -0.03, 'open': 11.7, 'close': 11.3, 'open_next': 11.1, 'change_rate_today': -0.03418803418803407}]}]",2020-07-21 12:01:45.302,2020-07-21 20:01:45.302,20,2020-07-22,2020-07-22,-0.03418803418803407,-0.03418803418803407
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5225', 'reason': '', 'change_rate': 2.12, 'change_rate_new': 0.0212, 'open': 26.1, 'close': 25.6, 'open_next': 25.6, 'change_rate_today': 0.015325670498084237}, {'id': '2543', 'reason': '', 'change_rate': -1.07, 'change_rate_new': -0.010700000000000001, 'open': 6.62, 'close': 6.41, 'open_next': 6.41, 'change_rate_today': -0.018126888217522674}, {'id': '8420', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 21.5, 'close': 21.65, 'open_next': 21.65, 'change_rate_today': -0.01860465116279063}, {'id': '8423', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.6, 'close': 16.7, 'open_next': 16.7, 'change_rate_today': -0.019886363636363716}]}]",2020-07-22 12:01:55.655,2020-07-22 20:01:55.655,20,2020-07-23,2020-07-23,-0.010323058129648196,-0.04415816725342081
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5225', 'reason': '', 'change_rate': -3.58, 'change_rate_new': -0.0358, 'open': 26.1, 'close': 25.6, 'open_next': 24.7, 'change_rate_today': -0.019157088122605363}, {'id': '1470', 'reason': '', 'change_rate': 2.32, 'change_rate_new': 0.0232, 'open': 18.9, 'close': 19.45, 'open_next': 19.15, 'change_rate_today': 0.02910052910052914}, {'id': '3115', 'reason': '', 'change_rate': -7.02, 'change_rate_new': -0.0702, 'open': 14.9, 'close': 13.9, 'open_next': 13.2, 'change_rate_today': -0.06711409395973154}, {'id': '5263', 'reason': '', 'change_rate': -2.59, 'change_rate_new': -0.0259, 'open': 114, 'close': 111, 'open_next': 110.5, 'change_rate_today': -0.02631578947368421}, {'id': '4558', 'reason': '', 'change_rate': 1.79, 'change_rate_new': 0.0179, 'open': 15.67, 'close': 15.95, 'open_next': 15.95, 'change_rate_today': 0.017868538608806595}]}]",2020-07-23 12:01:48.850,2020-07-23 20:01:48.850,20,2020-07-24,2020-07-24,-0.013123580769337076,-0.0567022347481817
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '1470', 'reason': '', 'change_rate': -3.53, 'change_rate_new': -0.0353, 'open': 18.9, 'close': 19.15, 'open_next': 19.5, 'change_rate_today': 0.013227513227513229}]}]",2020-07-24 12:01:48.075,2020-07-24 20:01:48.075,20,2020-07-27,2020-07-27,0.013227513227513229,-0.04422475108082957
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '8482', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 112.5, 'close': 111.5, 'open_next': 111.5, 'change_rate_today': -0.022222222222222223}, {'id': '1506', 'reason': '', 'change_rate': -2.04, 'change_rate_new': -0.0204, 'open': 12.25, 'close': 12.8, 'open_next': 12.3, 'change_rate_today': -0.02040816326530612}, {'id': '8906', 'reason': '', 'change_rate': -4.64, 'change_rate_new': -0.0464, 'open': 15.55, 'close': 15, 'open_next': 15.1, 'change_rate_today': -0.01929260450160776}, {'id': '6417', 'reason': '', 'change_rate': 3.69, 'change_rate_new': 0.0369, 'open': 56.9, 'close': 59, 'open_next': 59.2, 'change_rate_today': 0.03690685413005275}]}]",2020-07-27 12:01:48.238,2020-07-27 20:01:48.238,20,2020-07-28,2020-07-28,-0.006254033964770839,-0.050202201950257375
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '6574', 'reason': '', 'change_rate': -0.35, 'change_rate_new': -0.0034999999999999996, 'open': 57.8, 'close': 55.9, 'open_next': 56.9, 'change_rate_today': -0.041522491349480946}, {'id': '4413', 'reason': '', 'change_rate': 1.09, 'change_rate_new': 0.0109, 'open': 13.9, 'close': 13.6, 'open_next': 13.85, 'change_rate_today': 0.0}]}]",2020-07-28 12:01:51.386,2020-07-28 20:01:51.386,20,2020-07-29,2020-07-29,-0.020761245674740473,-0.06992118737689557
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '8482', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 111.5, 'close': 112.5, 'open_next': 112.5, 'change_rate_today': 0.0}, {'id': '5310', 'reason': '', 'change_rate': 10, 'change_rate_new': 0.1, 'open': 7.76, 'close': 9.28, 'open_next': 9.28, 'change_rate_today': 0.09536082474226808}, {'id': '8047', 'reason': '', 'change_rate': 0.49, 'change_rate_new': 0.0049, 'open': 10.3, 'close': 9.54, 'open_next': 9.54, 'change_rate_today': -0.029126213592233077}, {'id': '8924', 'reason': '', 'change_rate': -0.8, 'change_rate_new': -0.008, 'open': 37.9, 'close': 37.2, 'open_next': 37.2, 'change_rate_today': -0.021108179419524992}]}]",2020-07-29 12:01:49.798,2020-07-29 20:01:49.798,20,2020-07-30,2020-07-30,0.011281607932627502,-0.059428402866438024
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5310', 'reason': '', 'change_rate': 9.93, 'change_rate_new': 0.0993, 'open': 7.76, 'close': 9.28, 'open_next': 10, 'change_rate_today': 0.19587628865979376}, {'id': '1258', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 13.2, 'close': 12.8, 'open_next': 12.8, 'change_rate_today': -0.030303030303030196}]}]",2020-07-30 12:01:51.558,2020-07-30 20:01:51.558,20,2020-07-31,2020-07-31,0.08278662917838178,0.018438349161176593
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5310', 'reason': '', 'change_rate': 9.9, 'change_rate_new': 0.099, 'open': 7.76, 'close': 10, 'open_next': 9.98, 'change_rate_today': 0.288659793814433}]}]",2020-07-31 12:01:50.480,2020-07-31 20:01:50.480,20,2020-08-03,2020-08-03,0.288659793814433,0.3124205530427535
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '6545', 'reason': '', 'change_rate': 1.64, 'change_rate_new': 0.016399999999999998, 'open': 7.94, 'close': 8.72, 'open_next': 8.02, 'change_rate_today': 0.016372795969773285}]}]",2020-08-03 12:01:45.928,2020-08-03 20:01:45.928,20,2020-08-04,2020-08-04,0.016372795969773285,0.33390854698425954
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '2466', 'reason': '', 'change_rate': 0.52, 'change_rate_new': 0.0052, 'open': 28.6, 'close': 28.55, 'open_next': 28.95, 'change_rate_today': 0.003496503496503422}, {'id': '5301', 'reason': '', 'change_rate': 8.42, 'change_rate_new': 0.0842, 'open': 10.8, 'close': 10.8, 'open_next': 10.9, 'change_rate_today': 0.06481481481481474}, {'id': '5878', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 46.3, 'close': 47, 'open_next': 46.45, 'change_rate_today': 0.0}, {'id': '8107', 'reason': '', 'change_rate': -0.62, 'change_rate_new': -0.0062, 'open': 16.15, 'close': 14.75, 'open_next': 14.9, 'change_rate_today': -0.0712074303405572}, {'id': '6473', 'reason': '', 'change_rate': -10.24, 'change_rate_new': -0.1024, 'open': 16.8, 'close': 15.6, 'open_next': 14.91, 'change_rate_today': -0.10238095238095242}]}]",2020-08-04 12:01:47.532,2020-08-04 20:01:47.532,20,2020-08-05,2020-08-05,-0.021055412882038292,0.3058225517806261
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '2466', 'reason': '', 'change_rate': 0.17, 'change_rate_new': 0.0017000000000000001, 'open': 28.6, 'close': 28.95, 'open_next': 28.55, 'change_rate_today': 0.012237762237762163}, {'id': '4406', 'reason': '', 'change_rate': -1, 'change_rate_new': -0.01, 'open': 8.85, 'close': 8.75, 'open_next': 8.75, 'change_rate_today': 0.0}, {'id': '5301', 'reason': '', 'change_rate': -0.91, 'change_rate_new': -0.0091, 'open': 10.8, 'close': 10.9, 'open_next': 10.8, 'change_rate_today': 0.009259259259259226}, {'id': '6527', 'reason': '', 'change_rate': -0.2, 'change_rate_new': -0.002, 'open': 49.9, 'close': 49.05, 'open_next': 49.05, 'change_rate_today': -0.015030060120240482}]}]",2020-08-05 12:01:46.378,2020-08-05 20:01:46.378,20,2020-08-06,2020-08-06,0.0016167403441952263,0.30793372778244965
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '9929', 'reason': '', 'change_rate': 2.77, 'change_rate_new': 0.0277, 'open': 12.65, 'close': 13, 'open_next': 12.65, 'change_rate_today': 0.027667984189723292}, {'id': '1474', 'reason': '', 'change_rate': -2.64, 'change_rate_new': -0.0264, 'open': 15.15, 'close': 14.7, 'open_next': 14.05, 'change_rate_today': -0.02970297029702977}, {'id': '2466', 'reason': '', 'change_rate': -1.04, 'change_rate_new': -0.0104, 'open': 28.6, 'close': 28.55, 'open_next': 28.5, 'change_rate_today': -0.001748251748251773}, {'id': '2548', 'reason': '', 'change_rate': -0.58, 'change_rate_new': -0.0058, 'open': 86.5, 'close': 86, 'open_next': 86.6, 'change_rate_today': -0.005780346820809248}, {'id': '8068', 'reason': '', 'change_rate': 2.47, 'change_rate_new': 0.024700000000000003, 'open': 25.9, 'close': 27.2, 'open_next': 27.8, 'change_rate_today': 0.050193050193050225}]}]",2020-08-06 12:01:51.613,2020-08-06 20:01:51.613,20,2020-08-07,2020-08-07,0.008125893103336546,0.31856185744065835
"[{'symbol_id': 'FC0386', 'symbols': [{'id': '3701', 'reason': '', 'change_rate': -1.5, 'change_rate_new': -0.015, 'open': 13.2, 'close': 13, 'open_next': 12.95, 'change_rate_today': -0.015151515151515098}, {'id': '8112', 'reason': '', 'change_rate': 0.49, 'change_rate_new': 0.0049, 'open': 30.65, 'close': 30.35, 'open_next': 30.1, 'change_rate_today': -0.003262642740619833}, {'id': '1307', 'reason': '', 'change_rate': -1.34, 'change_rate_new': -0.0134, 'open': 22.55, 'close': 21.1, 'open_next': 21.7, 'change_rate_today': -0.03104212860310418}, {'id': '1732', 'reason': '', 'change_rate': -1.62, 'change_rate_new': -0.016200000000000003, 'open': 27.95, 'close': 25.75, 'open_next': 26, 'change_rate_today': -0.03220035778175308}, {'id': '6266', 'reason': '', 'change_rate': 1.3, 'change_rate_new': 0.013000000000000001, 'open': 19.5, 'close': 19.45, 'open_next': 19.35, 'change_rate_today': 0.0025641025641026005}, {'id': '8068', 'reason': '', 'change_rate': 4.81, 'change_rate_new': 0.0481, 'open': 25.9, 'close': 27.8, 'open_next': 28.3, 'change_rate_today': 0.07335907335907345}, {'id': '4562', 'reason': '', 'change_rate': 0.56, 'change_rate_new': 0.005600000000000001, 'open': 17.95, 'close': 17.75, 'open_next': 17.95, 'change_rate_today': 0.0027855153203343017}]}]",2020-08-07 12:01:49.169,2020-08-07 20:01:49.169,20,2020-08-10,2020-08-10,-0.0004211361476402638,0.3180065633795903
