data,time,real_time,timesplit,hour,weekday,price_date,all_return,c_return
"[{'query': '正崴', 'score': 10, 'category': 'stock', 'num': '2392', 'change_rate': 0.29, 'change_rate_new': 0.0029, 'open': 34.65, 'close': 35, 'change_rate_today': 0.010101010101010142}, {'query': '瑞儀', 'score': 8.5, 'category': 'stock', 'num': '6176', 'change_rate': 5.69, 'change_rate_new': 0.056900000000000006, 'open': 85.4, 'close': 89.2, 'change_rate_today': 0.044496487119437905}, {'query': '松翰', 'score': 7.75, 'category': 'stock', 'num': '5471', 'change_rate': -0.23, 'change_rate_new': -0.0023, 'open': 44.1, 'close': 43.4, 'change_rate_today': -0.015873015873015938}, {'query': '康那香', 'score': 6.5, 'category': 'stock', 'num': '9919', 'change_rate': 0.26, 'change_rate_new': 0.0026, 'open': 19.65, 'close': 19.4, 'change_rate_today': -0.012722646310432571}]",2020-04-08T00:01:28.538Z,2020-04-08 08:01:28.538,2020-04-08,8,2,2020-04-08,0.006500458759249882,0.01659657055025443
"[{'query': '旺宏', 'score': 9.5, 'category': 'stock', 'num': '2337', 'change_rate': -0.64, 'change_rate_new': -0.0064, 'open': 32.5, 'close': 31.2, 'change_rate_today': -0.04000000000000002}, {'query': '瑞儀', 'score': 9, 'category': 'stock', 'num': '6176', 'change_rate': -1.35, 'change_rate_new': -0.013500000000000002, 'open': 90.1, 'close': 88, 'change_rate_today': -0.023307436182019917}, {'query': '康那香', 'score': 7.5, 'category': 'stock', 'num': '9919', 'change_rate': 0.52, 'change_rate_new': 0.0052, 'open': 19.6, 'close': 19.5, 'change_rate_today': -0.005102040816326603}, {'query': '松翰', 'score': 7, 'category': 'stock', 'num': '5471', 'change_rate': 1.5, 'change_rate_new': 0.015, 'open': 46.1, 'close': 44.05, 'change_rate_today': -0.044468546637744126}]",2020-04-09T00:02:47.098Z,2020-04-09 08:02:47.098,2020-04-09,8,3,2020-04-09,-0.02821950590902267,-0.01209128237948065
"[{'query': '旺宏', 'score': 10, 'category': 'stock', 'num': '2337', 'change_rate': 0.16, 'change_rate_new': 0.0016, 'open': 31.2, 'close': 31.25, 'change_rate_today': 0.0016025641025641253}, {'query': '奇力新', 'score': 8.5, 'category': 'stock', 'num': '2456', 'change_rate': 0.53, 'change_rate_new': 0.0053, 'open': 95.9, 'close': 95.6, 'change_rate_today': -0.003128258602711276}, {'query': '瑞儀', 'score': 7.25, 'category': 'stock', 'num': '6176', 'change_rate': 2.39, 'change_rate_new': 0.0239, 'open': 88, 'close': 90.1, 'change_rate_today': 0.0238636363636363}, {'query': '松翰', 'score': 6.5, 'category': 'stock', 'num': '5471', 'change_rate': 1.02, 'change_rate_new': 0.0102, 'open': 44.5, 'close': 44.5, 'change_rate_today': 0.0}]",2020-04-10T00:01:37.315Z,2020-04-10 08:01:37.315,2020-04-10,8,4,2020-04-10,0.005584485465872287,-0.006574320504320386
"[{'query': '大宇資', 'score': 10, 'category': 'stock', 'num': '6111', 'change_rate': -4.98, 'change_rate_new': -0.049800000000000004, 'open': 68.5, 'close': 64.9, 'change_rate_today': -0.05255474452554736}, {'query': '旺宏', 'score': 9, 'category': 'stock', 'num': '2337', 'change_rate': -1.6, 'change_rate_new': -0.016, 'open': 31.25, 'close': 30.75, 'change_rate_today': -0.016}, {'query': '奇力新', 'score': 7, 'category': 'stock', 'num': '2456', 'change_rate': -1.15, 'change_rate_new': -0.0115, 'open': 95.6, 'close': 94.5, 'change_rate_today': -0.011506276150627557}, {'query': '聯電', 'score': 7, 'category': 'stock', 'num': '2303', 'change_rate': 3.5, 'change_rate_new': 0.035, 'open': 14.45, 'close': 14.8, 'change_rate_today': 0.024221453287197332}]",2020-04-13T00:01:32.188Z,2020-04-13 08:01:32.188,2020-04-13,8,0,2020-04-13,-0.013959891847244396,-0.020442435548355342
"[{'query': '明泰', 'score': 9.75, 'category': 'stock', 'num': '3380', 'change_rate': 5.25, 'change_rate_new': 0.0525, 'open': 20, 'close': 21.05, 'change_rate_today': 0.05250000000000003}, {'query': '大宇資', 'score': 7.75, 'category': 'stock', 'num': '6111', 'change_rate': 1.23, 'change_rate_new': 0.0123, 'open': 64.9, 'close': 65.7, 'change_rate_today': 0.01232665639445296}, {'query': '聯電', 'score': 7.5, 'category': 'stock', 'num': '2303', 'change_rate': 2.36, 'change_rate_new': 0.0236, 'open': 15.05, 'close': 15.15, 'change_rate_today': 0.006644518272425225}, {'query': '台耀', 'score': 6.5, 'category': 'stock', 'num': '4746', 'change_rate': 1.77, 'change_rate_new': 0.0177, 'open': 48.95, 'close': 49, 'change_rate_today': 0.0010214504596526488}]",2020-04-14T00:01:38.683Z,2020-04-14 08:01:38.683,2020-04-14,8,1,2020-04-14,0.018123156281632715,-0.0026897607209427354
"[{'query': '明泰', 'score': 9.25, 'category': 'stock', 'num': '3380', 'change_rate': -0.71, 'change_rate_new': -0.0070999999999999995, 'open': 21.1, 'close': 20.9, 'change_rate_today': -0.009478672985782125}, {'query': '聯電', 'score': 8, 'category': 'stock', 'num': '2303', 'change_rate': -0.33, 'change_rate_new': -0.0033, 'open': 15.15, 'close': 15.1, 'change_rate_today': -0.003300330033003347}, {'query': '網家', 'score': 7.25, 'category': 'stock', 'num': '8044', 'change_rate': -4.84, 'change_rate_new': -0.0484, 'open': 90.5, 'close': 86.6, 'change_rate_today': -0.043093922651933764}, {'query': '台耀', 'score': 6.5, 'category': 'stock', 'num': '4746', 'change_rate': -1.53, 'change_rate_new': -0.015300000000000001, 'open': 49.3, 'close': 48.25, 'change_rate_today': -0.021298174442190614}]",2020-04-15T00:01:31.314Z,2020-04-15 08:01:31.314,2020-04-15,8,2,2020-04-15,-0.01929277502822746,-0.02193064280070134
"[{'query': '網家', 'score': 9, 'category': 'stock', 'num': '8044', 'change_rate': 1.39, 'change_rate_new': 0.0139, 'open': 86.7, 'close': 87.8, 'change_rate_today': 0.01268742791234134}, {'query': '柏文', 'score': 8.5, 'category': 'stock', 'num': '8462', 'change_rate': -1.68, 'change_rate_new': -0.0168, 'open': 145.5, 'close': 146, 'change_rate_today': 0.003436426116838488}, {'query': '明泰', 'score': 7.5, 'category': 'stock', 'num': '3380', 'change_rate': -0.24, 'change_rate_new': -0.0024, 'open': 20.75, 'close': 20.85, 'change_rate_today': 0.004819277108433803}, {'query': '聯電', 'score': 7, 'category': 'stock', 'num': '2303', 'change_rate': -1.32, 'change_rate_new': -0.0132, 'open': 14.85, 'close': 14.9, 'change_rate_today': 0.003367003367003415}]",2020-04-16T00:01:49.190Z,2020-04-16 08:01:49.190,2020-04-16,8,3,2020-04-16,0.006077533626154262,-0.01598639339361152
"[{'query': '晶豪科', 'score': 8.75, 'category': 'stock', 'num': '3006', 'change_rate': -0.14, 'change_rate_new': -0.0014000000000000002, 'open': 36.6, 'close': 35.8, 'change_rate_today': -0.021857923497267874}, {'query': '聯電', 'score': 8.5, 'category': 'stock', 'num': '2303', 'change_rate': 1.01, 'change_rate_new': 0.0101, 'open': 15.2, 'close': 15.05, 'change_rate_today': -0.009868421052631486}, {'query': '柏文', 'score': 7.5, 'category': 'stock', 'num': '8462', 'change_rate': -1.37, 'change_rate_new': -0.0137, 'open': 151, 'close': 144, 'change_rate_today': -0.046357615894039736}, {'query': '明泰', 'score': 7, 'category': 'stock', 'num': '3380', 'change_rate': -1.44, 'change_rate_new': -0.0144, 'open': 21.5, 'close': 20.55, 'change_rate_today': -0.04418604651162787}]",2020-04-17T00:01:49.001Z,2020-04-17 08:01:49.001,2020-04-17,8,4,2020-04-17,-0.03056750173889174,-0.04606523102464544
"[{'query': '定穎', 'score': 9.75, 'category': 'stock', 'num': '6251', 'change_rate': 9.97, 'change_rate_new': 0.09970000000000001, 'open': 19.5, 'close': 20.4, 'change_rate_today': 0.04615384615384608}, {'query': '巨大', 'score': 9.25, 'category': 'stock', 'num': '9921', 'change_rate': 4.59, 'change_rate_new': 0.045899999999999996, 'open': 145, 'close': 148, 'change_rate_today': 0.020689655172413793}, {'query': '明泰', 'score': 7.75, 'category': 'stock', 'num': '3380', 'change_rate': 1.95, 'change_rate_new': 0.0195, 'open': 20.5, 'close': 20.95, 'change_rate_today': 0.021951219512195086}, {'query': '晶技', 'score': 5.5, 'category': 'stock', 'num': '3042', 'change_rate': 7.83, 'change_rate_new': 0.0783, 'open': 64.4, 'close': 67.5, 'change_rate_today': 0.04813664596273283}]",2020-04-20T00:03:33.431Z,2020-04-20 08:03:33.431,2020-04-20,8,0,2020-04-20,0.034232841700296945,-0.013409333085902864
"[{'query': '定穎', 'score': 9.25, 'category': 'stock', 'num': '6251', 'change_rate': -2.21, 'change_rate_new': -0.022099999999999998, 'open': 20.55, 'close': 19.95, 'change_rate_today': -0.02919708029197087}, {'query': '力山', 'score': 9.25, 'category': 'stock', 'num': '1515', 'change_rate': -3.61, 'change_rate_new': -0.0361, 'open': 66.9, 'close': 64.1, 'change_rate_today': -0.04185351270553081}, {'query': '巨大', 'score': 7.25, 'category': 'stock', 'num': '9921', 'change_rate': -3.04, 'change_rate_new': -0.0304, 'open': 146, 'close': 143.5, 'change_rate_today': -0.017123287671232876}, {'query': '合一', 'score': 7, 'category': 'stock', 'num': '4743', 'change_rate': 9.89, 'change_rate_new': 0.0989, 'open': 46.1, 'close': 46.1, 'change_rate_today': 0.0}]",2020-04-21T00:02:18.110Z,2020-04-21 08:02:18.110,2020-04-21,8,1,2020-04-21,-0.02204347016718364,-0.035157215019245625
